"sample","site","moist_grav","temp","CO2","C13","flask_vol","dry_soil","moist_vol","time_accum","tstage","qflag","sec","hour","day","air_vol","air_mol","C_R","order","C_R_r","sd.r","cv.r","sd.acc"
56,"maize",0.17,35,4654.5,-20.25,500,90,0.306,44,7,FALSE,7516800,2088,87,465.384615384615,0.0191044430745383,0.0118562173720585,476,0.269459485728602,0.131507499079811,0.324369577963133,0.00384579622521378
56,"maize",0.17,5,14264.52,-20.47,500,90,0.306,1694,8,FALSE,13910520,3864,161,465.384615384615,0.0191044430745383,0.0363354280434151,477,0.0214494852676595,0.00554280830646622,0.273243404009351,0.00992841604471959
56,"maize",0.17,20,19613.52,-21.35,500,90,0.306,388,9,FALSE,15815760,4393,183.041666666667,465.384615384615,0.0191044430745383,0.0499607168441759,478,0.128764734134474,0.0714656872777456,0.294113687490184,0.0146941306606935
56,"maize",0.17,35,24278.12,-20.42,500,90,0.306,160,10,FALSE,17026920,4730,197.083333333333,465.384615384615,0.0191044430745383,0.0618426615329081,479,0.386516634580676,0.131507499079811,0.324369577963133,0.0200598780215463
57,"maize",0.17,5,1131.57,-20.93,500,90,0.306,120,1,FALSE,432000,120,5,465.384615384615,0.0191044430745383,0.00288240195331405,480,0.024020016277617,0.00554280830646622,0.273243404009351,0.000787597321446732
57,"maize",0.17,5,1497.5,-21.82,500,90,0.306,240,2,FALSE,1296000,360,15,465.384615384615,0.0191044430745383,0.00381452046721615,481,0.0158938352800673,0.00554280830646622,0.273243404009351,0.00104229255712548
57,"maize",0.17,20,10165,-25.68,500,90,0.306,72,3,FALSE,4233600,1176,49,465.384615384615,0.0191044430745383,0.025892888513691,482,0.359623451579041,0.0714656872777456,0.294113687490184,0.00761545292053387
57,"maize",0.17,20,28299,-26.8,500,90,0.306,306,4,FALSE,5335200,1482,61.75,465.384615384615,0.0191044430745383,0.0720848846088481,483,0.235571518329569,0.0714656872777456,0.294113687490184,0.0212011512246127
57,"maize",0.17,20,8370,-26.52,500,90,0.306,75,5,FALSE,5605500,1557,64.875,465.384615384615,0.0191044430745383,0.0213205584711848,484,0.284274112949131,0.0714656872777456,0.294113687490184,0.00627066807131023
57,"maize",0.17,35,6113.5,-23.38,500,90,0.306,44,6,FALSE,6184800,1718,71.5833333333333,465.384615384615,0.0191044430745383,0.0155726683648254,485,0.353924281018758,0.131507499079811,0.324369577963133,0.00505129986525823
57,"maize",0.17,5,20292.47,-21,500,90,0.306,1694,7,FALSE,12577260,3494,145.583333333333,465.384615384615,0.0191044430745383,0.0516901783942369,486,0.030513682641226,0.00554280830646622,0.273243404009351,0.0141240002982919
57,"maize",0.17,20,44718.62,-25.43,500,90,0.306,388,8,FALSE,14484420,4023,167.625,465.384615384615,0.0191044430745383,0.113909910688255,487,0.293582244041894,0.0714656872777456,0.294113687490184,0.0335024638742001
57,"maize",0.17,35,38983.55,-24.32,500,90,0.306,159,9,FALSE,15693900,4359,181.625,465.384615384615,0.0191044430745383,0.0993012015757892,488,0.624535858967228,0.131507499079811,0.324369577963133,0.0322102888463708
58,"maize",0.19,5,501,-20,500,90,0.342,72,1,FALSE,1332000,370,15.4166666666667,465.384615384615,0.0191044430745383,0.00127617679737916,489,0.0177246777413772,0.00445531199064668,0.199581452419972,0.000254701218765601
58,"maize",0.19,5,996.64,-18.95,500,90,0.342,120,2,FALSE,1764000,490,20.4166666666667,465.384615384615,0.0191044430745383,0.00253870028610772,490,0.0211558357175643,0.00445531199064668,0.199581452419972,0.000506677490360377
58,"maize",0.19,5,1538,-20.47,500,90,0.342,240,3,FALSE,2628000,730,30.4166666666667,465.384615384615,0.0191044430745383,0.00391768445981866,491,0.0163236852492444,0.00445531199064668,0.199581452419972,0.000781897154613761
58,"maize",0.19,20,8658.5,-22.33,500,90,0.342,72,4,FALSE,5565600,1546,64.4166666666667,465.384615384615,0.0191044430745383,0.0220554427147854,492,0.306325593260908,0.0869863171126503,0.30135004014424,0.00664640854749955
58,"maize",0.19,20,22496.5,-24.49,500,90,0.342,306,5,FALSE,6667200,1852,77.1666666666667,465.384615384615,0.0191044430745383,0.0573044138168469,493,0.187269326198846,0.0869863171126503,0.30135004014424,0.017268687404149
