sample,site,moist_grav,temp,preinc_start,preinc_end,inc_start,inc_end,CO2,C13,flask_vol,dry_soil
20,bare_fallow,13,35,14/10/11 14:59,17/10/11 11:00,17/10/11 11:00,18/10/11 17:53,1677.72,-26.14,500,90
20,bare_fallow,13,35,18/10/11 17:53,18/10/11 00:00,18/10/11 00:00,25/10/11 12:42,8859.19,-26.91,500,90
20,bare_fallow,13,20,25/10/11 12:42,10/11/11 00:00,10/11/11 00:00,17/11/11 14:11,3545.72,-26.65,500,90
21,bare_fallow,13,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,143.5,,500,90
21,bare_fallow,13,5,19/05/11 00:00,19/05/11 00:00,19/05/11 00:00,24/05/11 00:00,166.65,,500,90
21,bare_fallow,13,5,24/05/11 00:00,27/05/11 00:00,27/05/11 00:00,23/06/11 00:00,1246,-27.15,500,90
21,bare_fallow,13,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,11400,-28.96,500,90
21,bare_fallow,13,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,4751.5,-28.28,500,90
21,bare_fallow,13,35,22/07/11 18:00,23/07/11 20:34,23/07/11 20:34,24/07/11 16:36,2165,-28.32,500,90
21,bare_fallow,13,5,24/07/11 16:36,02/08/11 00:00,02/08/11 00:00,14/10/11 17:00,4030.12,-26.33,500,90
21,bare_fallow,13,35,14/10/11 17:00,17/10/11 11:00,17/10/11 11:00,18/10/11 19:15,4192.14,-26.99,500,90
21,bare_fallow,13,35,18/10/11 19:15,18/10/11 00:00,18/10/11 00:00,25/10/11 11:23,17811.03,-27.42,500,90
21,bare_fallow,13,20,25/10/11 11:23,10/11/11 00:00,10/11/11 00:00,17/11/11 16:29,5280.18,-26.69,500,90
22,bare_fallow,15,5,24/05/11 00:00,14/06/11 00:00,14/06/11 00:00,23/06/11 00:00,5135.5,-29.43,500,90
22,bare_fallow,15,20,23/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,9544,-27.65,500,90
22,bare_fallow,15,20,15/07/11 00:00,15/07/11 00:00,15/07/11 00:00,22/07/11 18:00,4779,-27.66,500,90
22,bare_fallow,15,35,22/07/11 18:00,23/07/11 20:34,23/07/11 20:34,24/07/11 16:50,2487.5,-28.05,500,90
22,bare_fallow,15,5,24/07/11 16:50,02/08/11 00:00,02/08/11 00:00,14/10/11 14:41,4757.45,-26.09,500,90
22,bare_fallow,15,35,14/10/11 14:41,17/10/11 11:00,17/10/11 11:00,18/10/11 19:08,4589.16,-26.54,500,90
22,bare_fallow,15,35,18/10/11 19:08,18/10/11 00:00,18/10/11 00:00,25/10/11 11:32,21123.52,-26.75,500,90
22,bare_fallow,15,20,25/10/11 11:32,10/11/11 00:00,10/11/11 00:00,17/11/11 16:02,5378.1,-26.75,500,90
23,bare_fallow,15,5,03/05/11 14:00,16/05/11 00:00,16/05/11 00:00,19/05/11 00:00,887,-27.81,500,90
23,bare_fallow,15,5,19/05/11 00:00,19/05/11 00:00,19/05/11 00:00,24/05/11 00:00,974.45,-28.42,500,90
23,bare_fallow,15,5,24/05/11 00:00,27/05/11 00:00,27/05/11 00:00,14/06/11 00:00,4280,-29.33,500,90
23,bare_fallow,15,20,14/06/11 00:00,04/07/11 00:00,04/07/11 00:00,15/07/11 00:00,11009,-28.69,500,90
