"sample","hour","temp","moist","litter_met","litter_str"
63,4023,308,0.378,0,0
63,4358,308,0.378,0,0
64,0,278,0.45,0,0
64,1210,278,0.45,0,0
64,1211,293,0.45,0,0
64,1921,293,0.45,0,0
64,1922,308,0.45,0,0
64,2088,308,0.45,0,0
64,2089,278,0.45,0,0
64,3850,293,0.45,0,0
64,4392,293,0.45,0,0
64,4393,308,0.45,0,0
64,4728,308,0.45,0,0
65,0,278,0.45,0,0
65,1210,278,0.45,0,0
65,1211,293,0.45,0,0
65,1921,293,0.45,0,0
65,1922,308,0.45,0,0
65,2088,308,0.45,0,0
65,2089,278,0.45,0,0
65,3850,293,0.45,0,0
65,4392,293,0.45,0,0
65,4393,308,0.45,0,0
65,4728,308,0.45,0,0
66,0,278,0.45,0,0
66,696,278,0.45,0,0
66,697,293,0.45,0,0
66,1623,293,0.45,0,0
66,1624,308,0.45,0,0
66,1790,308,0.45,0,0
66,1791,278,0.45,0,0
66,2976,278,0.45,0,0
66,2977,293,0.45,0,0
66,4094,293,0.45,0,0
66,4095,308,0.45,0,0
66,4430,308,0.45,0,0
